Home_Location,Qualification,Job_Domain,Employment_Type,Company_Size,Joining_Period,Experience_Years,Salary
Chirmiri,BA,MIS Executive,Full Time,Medium,45 Days,4,46000
Mahasamund,B.Com,Account Manager,Full Time,Medium,30 Days,3,63000
Raigarh,BCA,Content Writer,Full Time,Small,30 Days,2,40000
Dalli-Rajhara,BCA,Account Manager,Part Time,Small,30 Days,8,59000
Sakti,10th Pass,Customer Support,Part Time,Medium,Immediately,1,12000
Bhilai,BBA,MIS Executive,Part Time,Large,30 Days,8,69000
Bemetra,MBA,MIS Executive,Full Time,Large,45 Days,8,150000
Jagdalpur,BCA,MIS Executive,Full Time,Medium,15 Days,7,93000
Chirmiri,MBA,Account Manager,Full Time,Small,45 Days,5,150000
Durg,M.Com,Business Analyst,Full Time,Large,3 Months,8,150000
Bhatapara,MBA,HR Executive,Full Time,Small,45 Days,4,93000
Chirmiri,BA,Sales Executive,Full Time,Medium,2 Months,11,68000
Korba,Diploma,Content Writer,Full Time,Medium,15 Days,2,27000
Manendragarh,BA,HR Executive,Part Time,Large,Immediately,0,22000
Tilda Newra,BCA,Sales Executive,Full Time,Medium,15 Days,1,58000
Raipur,M.Com,MIS Executive,Contract,Large,2 Months,6,147000
Rajnandgaon,MA,MIS Executive,Intern,Small,45 Days,7,38000
Ambikapur,BCA,MIS Executive,Full Time,Large,30 Days,6,116000
Tilda Newra,MA,HR Executive,Contract,Large,3 Months,9,124000
Bhilai,BBA,Sales Executive,Full Time,Medium,15 Days,4,69000
Sakti,BA,Sales Executive,Full Time,Medium,30 Days,8,55000
Bhatapara,12th Pass,Customer Support,Full Time,Medium,45 Days,9,31000
Naila Janjgir,MA,MIS Executive,Full Time,Medium,45 Days,19,150000
Bemetra,10th Pass,Computer Operator,Full Time,Small,30 Days,5,12000
Korba,BCA,Content Writer,Contract,Medium,30 Days,1,43000
Korba,10th Pass,Customer Support,Full Time,Small,Immediately,1,12000
Raipur,10th Pass,Customer Support,Full Time,Medium,Immediately,4,14000
Bemetra,10th Pass,Sales Executive,Full Time,Small,15 Days,3,17000
Korba,B.Com,Digital Marketing Executive,Full Time,Medium,2 Months,4,65000
Raipur,MBA,MIS Executive,Part Time,Small,3 Months,14,122000
Bemetra,10th Pass,Customer Support,Contract,Large,45 Days,7,21000
Mungeli,B.Com,Customer Support,Full Time,Large,15 Days,2,48000
Mungeli,Diploma,Computer Operator,Full Time,Small,30 Days,11,33000
Naila Janjgir,10th Pass,Customer Support,Contract,Small,30 Days,8,14000
Korba,B.Com,MIS Executive,Full Time,Large,45 Days,7,87000
Bhatapara,10th Pass,Sales Executive,Full Time,Large,30 Days,1,21000
Raipur,10th Pass,Customer Support,Full Time,Medium,30 Days,4,13000
Chirmiri,Diploma,Content Writer,Full Time,Large,30 Days,7,49000
Ambikapur,MBA,HR Executive,Full Time,Large,15 Days,14,150000
Raipur,M.Com,MIS Executive,Full Time,Large,30 Days,20,150000
Mungeli,MBA,HR Executive,Full Time,Medium,30 Days,2,91000
Bhilai,BA,Digital Marketing Executive,Part Time,Large,30 Days,9,52000
Sakti,12th Pass,Computer Operator,Full Time,Large,45 Days,9,35000
Dhamtari,BBA,Digital Marketing Executive,Full Time,Small,2 Months,10,102000
Ambikapur,Diploma,Customer Support,Full Time,Large,2 Months,11,46000
Raigarh,12th Pass,Sales Executive,Full Time,Medium,2 Months,8,35000
Korba,MA,Digital Marketing Executive,Full Time,Medium,30 Days,7,109000
Bhatapara,12th Pass,Sales Executive,Full Time,Medium,30 Days,8,43000
Sakti,MA,MIS Executive,Contract,Small,Immediately,12,113000
Dalli-Rajhara,B.Com,MIS Executive,Contract,Large,30 Days,6,74000
Korba,M.Com,Account Manager,Contract,Large,30 Days,12,150000
Bemetra,BBA,Digital Marketing Executive,Full Time,Large,30 Days,6,109000
Bilaspur,12th Pass,Computer Operator,Full Time,Medium,3 Months,6,26000
Bhatapara,10th Pass,Computer Operator,Full Time,Medium,45 Days,5,14000
Bhilai,MA,HR Executive,Part Time,Small,2 Months,3,39000
Chirmiri,Diploma,Sales Executive,Full Time,Medium,30 Days,8,56000
Sakti,10th Pass,Computer Operator,Part Time,Large,2 Months,5,12000
Bemetra,MA,Sales Executive,Full Time,Small,Immediately,1,61000
Bemetra,BA,Sales Executive,Part Time,Large,30 Days,2,33000
Bilaspur,B.Com,HR Executive,Full Time,Medium,30 Days,10,81000
Chirmiri,BCA,Digital Marketing Executive,Contract,Small,45 Days,2,43000
Mahasamund,M.Com,Digital Marketing Executive,Full Time,Small,Immediately,19,150000
Durg,BBA,Business Analyst,Full Time,Medium,15 Days,4,79000
Korba,BBA,HR Executive,Intern,Large,3 Months,10,45000
Mungeli,10th Pass,Customer Support,Full Time,Small,15 Days,1,12000
Raipur,Diploma,Computer Operator,Full Time,Small,30 Days,15,41000
Chirmiri,BA,Sales Executive,Full Time,Medium,45 Days,7,56000
Bemetra,Diploma,Content Writer,Full Time,Medium,Immediately,7,41000
Raipur,M.Com,Sales Executive,Full Time,Large,15 Days,3,109000
Dhamtari,MBA,MIS Executive,Full Time,Small,3 Months,8,150000
Durg,BA,Content Writer,Full Time,Small,15 Days,2,32000
Mungeli,MA,MIS Executive,Part Time,Large,45 Days,16,127000
Bilaspur,BBA,Business Analyst,Full Time,Medium,3 Months,12,150000
Mungeli,MA,HR Executive,Full Time,Large,2 Months,8,106000
Mungeli,B.Com,Digital Marketing Executive,Full Time,Small,Immediately,7,57000
Durg,Diploma,Accountant,Intern,Large,2 Months,3,21000
Tilda Newra,BA,HR Executive,Contract,Large,15 Days,7,64000
Rajnandgaon,M.Com,HR Executive,Full Time,Large,30 Days,16,150000
Bhilai,MA,HR Executive,Full Time,Small,45 Days,18,123000
Dhamtari,BBA,Content Writer,Full Time,Large,Immediately,1,53000
Bhilai,BA,Business Analyst,Contract,Medium,15 Days,4,62000
Tilda Newra,B.Com,Account Manager,Full Time,Small,Immediately,6,62000
Jagdalpur,MBA,HR Executive,Contract,Small,45 Days,4,86000
Dhamtari,BBA,Business Analyst,Full Time,Large,30 Days,5,124000
Tilda Newra,B.Com,HR Executive,Full Time,Small,3 Months,5,48000
Rajnandgaon,12th Pass,Content Writer,Full Time,Large,30 Days,2,29000
Mahasamund,12th Pass,Content Writer,Full Time,Medium,2 Months,7,27000
Raipur,BCA,Business Analyst,Full Time,Small,3 Months,5,83000
Manendragarh,Diploma,Customer Support,Full Time,Large,30 Days,14,67000
Sakti,12th Pass,Content Writer,Full Time,Large,15 Days,3,28000
Tilda Newra,BCA,Account Manager,Full Time,Small,45 Days,6,73000
Bhatapara,MBA,Digital Marketing Executive,Intern,Small,Immediately,9,60000
Rajnandgaon,BA,Account Manager,Part Time,Small,2 Months,3,28000
Jagdalpur,BCA,Sales Executive,Full Time,Medium,30 Days,6,76000
Bhilai,BBA,HR Executive,Full Time,Small,30 Days,6,60000
Chirmiri,10th Pass,Sales Executive,Full Time,Large,15 Days,3,24000
Jagdalpur,10th Pass,Customer Support,Contract,Medium,Immediately,2,12000
Dalli-Rajhara,B.Com,Account Manager,Part Time,Large,45 Days,6,55000
Bemetra,MA,HR Executive,Intern,Large,2 Months,9,52000
Rajnandgaon,BBA,Sales Executive,Full Time,Large,2 Months,7,110000
Chirmiri,BA,HR Executive,Full Time,Medium,30 Days,7,46000
Naila Janjgir,B.Com,HR Executive,Contract,Large,Immediately,2,47000
Bilaspur,B.Com,Business Analyst,Full Time,Small,2 Months,10,99000
Manendragarh,MA,Digital Marketing Executive,Full Time,Medium,2 Months,14,150000
Durg,M.Com,HR Executive,Full Time,Medium,30 Days,12,150000
Ambikapur,B.Com,Digital Marketing Executive,Full Time,Large,45 Days,7,86000
Korba,10th Pass,Sales Executive,Full Time,Medium,45 Days,4,22000
Ambikapur,10th Pass,Customer Support,Full Time,Small,2 Months,0,12000
Ambikapur,Diploma,Content Writer,Part Time,Large,30 Days,0,16000
Dhamtari,10th Pass,Customer Support,Full Time,Large,Immediately,5,20000
Naila Janjgir,MBA,HR Executive,Full Time,Large,3 Months,6,150000
Jagdalpur,MBA,HR Executive,Full Time,Small,30 Days,5,115000
Raipur,M.Com,Digital Marketing Executive,Full Time,Small,45 Days,3,94000
Mungeli,MA,Digital Marketing Executive,Full Time,Medium,45 Days,14,150000
Manendragarh,B.Com,Sales Executive,Intern,Medium,Immediately,4,22000
Raipur,BA,Digital Marketing Executive,Part Time,Medium,15 Days,10,41000
Dalli-Rajhara,B.Com,HR Executive,Full Time,Medium,30 Days,5,56000
Manendragarh,MBA,MIS Executive,Full Time,Medium,30 Days,3,132000
Dalli-Rajhara,BA,Accountant,Full Time,Large,30 Days,2,49000
Chirmiri,MBA,Account Manager,Contract,Large,2 Months,8,150000
Chirmiri,BCA,Digital Marketing Executive,Full Time,Medium,2 Months,5,68000
Tilda Newra,BA,Digital Marketing Executive,Full Time,Small,45 Days,9,56000
Durg,M.Com,HR Executive,Part Time,Medium,15 Days,1,48000
Bhilai,BA,Business Analyst,Full Time,Medium,2 Months,12,110000
Korba,MBA,HR Executive,Part Time,Medium,3 Months,12,114000
Raipur,BA,Sales Executive,Part Time,Small,30 Days,0,16000
Korba,Diploma,Sales Executive,Full Time,Medium,30 Days,9,51000
Bilaspur,B.Com,MIS Executive,Part Time,Small,15 Days,11,51000
Bemetra,10th Pass,Customer Support,Full Time,Medium,15 Days,1,12000
Bilaspur,MBA,Account Manager,Full Time,Medium,15 Days,10,150000
Bemetra,BBA,Sales Executive,Full Time,Large,30 Days,2,76000
Bhatapara,MBA,MIS Executive,Contract,Medium,30 Days,1,100000
Manendragarh,M.Com,Account Manager,Full Time,Small,3 Months,10,150000
Tilda Newra,MBA,Account Manager,Full Time,Large,3 Months,6,150000
Sakti,10th Pass,Computer Operator,Contract,Medium,30 Days,0,12000
Bhatapara,BA,Account Manager,Full Time,Small,3 Months,10,65000
Raigarh,12th Pass,Content Writer,Full Time,Medium,30 Days,5,26000
Raipur,12th Pass,Sales Executive,Contract,Medium,2 Months,5,31000
Naila Janjgir,BBA,HR Executive,Full Time,Large,2 Months,7,87000
Mungeli,BA,HR Executive,Full Time,Small,45 Days,7,41000
Jagdalpur,MA,Account Manager,Full Time,Small,30 Days,8,123000
Durg,M.Com,MIS Executive,Contract,Small,2 Months,8,99000
Bemetra,BA,Accountant,Full Time,Large,Immediately,1,46000
Ambikapur,BBA,Sales Executive,Full Time,Large,45 Days,6,101000
Dalli-Rajhara,BCA,Account Manager,Full Time,Large,30 Days,7,128000
Durg,Diploma,Customer Support,Part Time,Medium,15 Days,7,23000
Raigarh,B.Com,Customer Support,Part Time,Medium,30 Days,0,19000
Raigarh,12th Pass,Content Writer,Intern,Large,2 Months,6,15000
Durg,M.Com,HR Executive,Part Time,Small,45 Days,9,70000
Mahasamund,12th Pass,Sales Executive,Full Time,Large,45 Days,6,49000
Dalli-Rajhara,BBA,Digital Marketing Executive,Contract,Medium,Immediately,0,43000
Bemetra,BBA,HR Executive,Intern,Large,15 Days,1,24000
Ambikapur,M.Com,Account Manager,Part Time,Small,15 Days,8,93000
Korba,BBA,MIS Executive,Full Time,Small,30 Days,7,75000
Naila Janjgir,MBA,HR Executive,Full Time,Small,30 Days,9,123000
Mahasamund,BBA,Accountant,Full Time,Small,Immediately,0,39000
Korba,BBA,Business Analyst,Full Time,Small,15 Days,7,91000
Ambikapur,MBA,HR Executive,Full Time,Large,45 Days,16,150000
Korba,12th Pass,Sales Executive,Part Time,Small,Immediately,1,12000
Naila Janjgir,MA,Account Manager,Contract,Small,15 Days,9,132000
Jagdalpur,10th Pass,Computer Operator,Full Time,Large,3 Months,5,16000
Ambikapur,MA,MIS Executive,Full Time,Medium,45 Days,18,150000
Dhamtari,MA,Account Manager,Full Time,Small,30 Days,7,102000
Jagdalpur,M.Com,HR Executive,Part Time,Small,30 Days,4,44000
Sakti,BBA,Sales Executive,Contract,Medium,3 Months,6,62000
Chirmiri,BA,HR Executive,Full Time,Large,3 Months,9,65000
Dalli-Rajhara,MA,Business Analyst,Full Time,Medium,45 Days,9,150000
Bemetra,12th Pass,Customer Support,Full Time,Medium,2 Months,5,24000
Korba,B.Com,Business Analyst,Contract,Small,2 Months,4,57000
Korba,Diploma,Computer Operator,Contract,Medium,2 Months,12,36000
Dhamtari,M.Com,Account Manager,Full Time,Small,15 Days,2,81000
Manendragarh,BCA,Accountant,Full Time,Medium,Immediately,0,51000
Manendragarh,B.Com,HR Executive,Full Time,Small,30 Days,13,76000
Dhamtari,BBA,Sales Executive,Full Time,Medium,2 Months,5,68000
Raigarh,MBA,Digital Marketing Executive,Full Time,Large,3 Months,9,150000
Dalli-Rajhara,B.Com,Digital Marketing Executive,Full Time,Medium,2 Months,7,70000
Durg,10th Pass,Computer Operator,Full Time,Large,Immediately,0,13000
Jagdalpur,12th Pass,Content Writer,Full Time,Medium,Immediately,4,23000
Mungeli,10th Pass,Computer Operator,Full Time,Small,2 Months,8,13000
Sakti,Diploma,Customer Support,Full Time,Large,30 Days,7,49000
Mahasamund,BBA,Accountant,Part Time,Medium,45 Days,2,35000
Raigarh,BA,HR Executive,Full Time,Large,3 Months,6,63000
Raipur,M.Com,MIS Executive,Full Time,Small,Immediately,19,150000
Dhamtari,BBA,Digital Marketing Executive,Part Time,Small,Immediately,2,29000
Bilaspur,BBA,Business Analyst,Full Time,Large,15 Days,9,149000
Chirmiri,MA,Digital Marketing Executive,Full Time,Small,15 Days,1,57000
Bhilai,Diploma,Sales Executive,Contract,Small,2 Months,4,31000
Mahasamund,BA,Sales Executive,Contract,Medium,30 Days,4,38000
Korba,Diploma,Accountant,Full Time,Small,2 Months,10,48000
Bhatapara,M.Com,MIS Executive,Full Time,Small,45 Days,16,150000
Bhatapara,BA,HR Executive,Full Time,Medium,45 Days,3,41000
Mungeli,BBA,Digital Marketing Executive,Full Time,Small,3 Months,11,78000
Naila Janjgir,MA,HR Executive,Full Time,Medium,2 Months,6,77000
Ambikapur,BCA,Sales Executive,Full Time,Small,30 Days,3,58000
Durg,BBA,HR Executive,Full Time,Small,2 Months,5,56000
Mungeli,Diploma,Customer Support,Full Time,Medium,30 Days,5,30000
Durg,BBA,Digital Marketing Executive,Full Time,Small,2 Months,8,72000
Sakti,12th Pass,Customer Support,Full Time,Medium,30 Days,1,19000
Bilaspur,10th Pass,Sales Executive,Full Time,Medium,30 Days,7,24000
Raigarh,B.Com,HR Executive,Contract,Large,Immediately,1,49000
Korba,BBA,Account Manager,Part Time,Small,45 Days,11,59000
Jagdalpur,BBA,Sales Executive,Full Time,Small,30 Days,4,57000
Raipur,12th Pass,Customer Support,Full Time,Medium,30 Days,3,22000
Durg,Diploma,Customer Support,Full Time,Medium,2 Months,3,26000
Mahasamund,MA,Account Manager,Part Time,Large,30 Days,4,78000
Bemetra,B.Com,Business Analyst,Full Time,Medium,2 Months,9,89000
Bhatapara,BA,Accountant,Intern,Large,30 Days,0,15000
Manendragarh,B.Com,Digital Marketing Executive,Full Time,Medium,30 Days,6,66000
Sakti,10th Pass,Customer Support,Part Time,Medium,Immediately,0,12000
Raigarh,B.Com,Account Manager,Full Time,Medium,30 Days,6,76000
Tilda Newra,Diploma,Computer Operator,Full Time,Large,45 Days,5,35000
Naila Janjgir,MA,MIS Executive,Full Time,Medium,15 Days,5,88000
Bhilai,B.Com,HR Executive,Contract,Large,3 Months,13,83000
Durg,BA,HR Executive,Contract,Medium,45 Days,4,38000
Manendragarh,M.Com,Digital Marketing Executive,Full Time,Small,Immediately,14,150000
Bhilai,12th Pass,Sales Executive,Part Time,Large,30 Days,6,25000
Sakti,BA,Sales Executive,Full Time,Medium,2 Months,7,58000
Manendragarh,BA,Sales Executive,Full Time,Small,2 Months,12,62000
Raigarh,Diploma,Accountant,Full Time,Small,3 Months,7,42000
Bemetra,MBA,Account Manager,Full Time,Small,2 Months,15,150000
Jagdalpur,10th Pass,Customer Support,Full Time,Small,2 Months,7,15000
Durg,10th Pass,Customer Support,Full Time,Large,2 Months,8,26000
Dalli-Rajhara,BCA,Business Analyst,Full Time,Large,45 Days,10,150000
Naila Janjgir,BBA,MIS Executive,Full Time,Medium,15 Days,7,86000
Chirmiri,MA,Digital Marketing Executive,Full Time,Medium,3 Months,6,93000
Raipur,12th Pass,Computer Operator,Contract,Small,30 Days,0,12000
Raipur,MBA,Digital Marketing Executive,Part Time,Small,30 Days,2,65000
Ambikapur,10th Pass,Sales Executive,Contract,Medium,2 Months,6,22000
Ambikapur,Diploma,Customer Support,Full Time,Medium,2 Months,4,30000
Bilaspur,B.Com,Digital Marketing Executive,Full Time,Large,15 Days,8,93000
Chirmiri,MA,Digital Marketing Executive,Full Time,Small,30 Days,7,85000
Manendragarh,BBA,Digital Marketing Executive,Full Time,Large,45 Days,11,136000
Mungeli,BBA,HR Executive,Full Time,Small,30 Days,6,66000
Tilda Newra,B.Com,Digital Marketing Executive,Full Time,Small,45 Days,12,79000
Mungeli,12th Pass,Sales Executive,Full Time,Medium,45 Days,4,33000
Tilda Newra,MBA,Account Manager,Full Time,Small,15 Days,7,150000
Bhilai,B.Com,HR Executive,Contract,Medium,30 Days,2,38000
Durg,B.Com,Business Analyst,Full Time,Medium,2 Months,3,75000
Manendragarh,B.Com,Sales Executive,Full Time,Large,15 Days,6,75000
Rajnandgaon,BCA,HR Executive,Full Time,Large,Immediately,1,57000
Raigarh,M.Com,HR Executive,Full Time,Small,30 Days,18,150000
Sakti,MA,HR Executive,Full Time,Large,15 Days,15,150000
Raigarh,BCA,Business Analyst,Full Time,Large,15 Days,6,123000
Bilaspur,12th Pass,Sales Executive,Full Time,Small,15 Days,1,20000
Sakti,Diploma,Sales Executive,Full Time,Medium,2 Months,14,71000
Durg,B.Com,Business Analyst,Full Time,Large,45 Days,4,83000
Bemetra,12th Pass,Customer Support,Part Time,Large,30 Days,3,14000
Bhatapara,MBA,Digital Marketing Executive,Full Time,Large,15 Days,10,150000
Durg,MA,MIS Executive,Full Time,Small,30 Days,4,81000
Raigarh,M.Com,MIS Executive,Full Time,Large,45 Days,10,150000
Chirmiri,12th Pass,Computer Operator,Intern,Small,45 Days,5,8000
Jagdalpur,BCA,Business Analyst,Full Time,Large,45 Days,3,99000
Sakti,BBA,HR Executive,Full Time,Small,3 Months,5,52000
Bemetra,M.Com,Digital Marketing Executive,Contract,Medium,2 Months,6,118000
Rajnandgaon,10th Pass,Sales Executive,Contract,Small,30 Days,5,15000
Naila Janjgir,MBA,Digital Marketing Executive,Full Time,Small,2 Months,5,134000
Naila Janjgir,MA,Sales Executive,Full Time,Medium,30 Days,2,74000
Manendragarh,MA,Account Manager,Full Time,Small,15 Days,5,110000
Naila Janjgir,M.Com,Business Analyst,Full Time,Medium,30 Days,7,150000
Manendragarh,MA,HR Executive,Contract,Large,45 Days,8,125000
Naila Janjgir,Diploma,Content Writer,Contract,Small,15 Days,6,29000
Durg,10th Pass,Sales Executive,Full Time,Medium,2 Months,4,21000
Sakti,M.Com,MIS Executive,Full Time,Small,30 Days,12,139000
Durg,M.Com,Business Analyst,Full Time,Large,30 Days,9,150000
Raigarh,12th Pass,Sales Executive,Full Time,Large,30 Days,4,38000
Mahasamund,BA,Business Analyst,Full Time,Large,45 Days,6,91000
Bemetra,Diploma,Computer Operator,Full Time,Small,15 Days,1,19000
Raipur,Diploma,Content Writer,Contract,Small,Immediately,1,20000
Ambikapur,MA,Sales Executive,Contract,Large,15 Days,1,69000
Bemetra,BCA,Business Analyst,Full Time,Large,15 Days,6,125000
Tilda Newra,MA,MIS Executive,Contract,Medium,3 Months,20,150000
Sakti,BBA,Digital Marketing Executive,Part Time,Medium,15 Days,3,43000
Korba,BCA,Digital Marketing Executive,Contract,Medium,Immediately,2,58000
Raipur,BBA,MIS Executive,Full Time,Medium,45 Days,12,138000
Bhilai,B.Com,Sales Executive,Part Time,Small,3 Months,7,33000
Rajnandgaon,MBA,Account Manager,Part Time,Medium,45 Days,2,82000
Mahasamund,BA,HR Executive,Full Time,Medium,30 Days,11,64000
Bhatapara,BA,MIS Executive,Full Time,Medium,Immediately,4,46000
Naila Janjgir,10th Pass,Computer Operator,Contract,Small,3 Months,5,12000
Tilda Newra,10th Pass,Computer Operator,Full Time,Medium,15 Days,5,13000
Korba,BCA,Accountant,Part Time,Large,Immediately,0,37000
Chirmiri,MA,Digital Marketing Executive,Part Time,Large,30 Days,3,64000
Dalli-Rajhara,MA,Digital Marketing Executive,Full Time,Medium,3 Months,3,89000
Dhamtari,MA,MIS Executive,Contract,Large,30 Days,1,75000
Korba,BA,HR Executive,Full Time,Small,2 Months,6,39000
Jagdalpur,Diploma,Accountant,Full Time,Small,15 Days,1,28000
Rajnandgaon,B.Com,Business Analyst,Full Time,Medium,3 Months,10,108000
Korba,B.Com,Accountant,Full Time,Small,Immediately,1,40000
Dhamtari,12th Pass,Computer Operator,Contract,Medium,2 Months,5,19000
Manendragarh,12th Pass,Content Writer,Full Time,Small,Immediately,0,16000
Korba,BBA,HR Executive,Full Time,Medium,30 Days,7,82000
Mahasamund,12th Pass,Sales Executive,Full Time,Large,2 Months,7,49000
Mungeli,M.Com,Sales Executive,Part Time,Small,15 Days,1,38000
Raigarh,BBA,Sales Executive,Full Time,Large,2 Months,6,92000
Durg,10th Pass,Sales Executive,Part Time,Small,Immediately,0,12000
Jagdalpur,10th Pass,Sales Executive,Contract,Small,3 Months,3,13000
Mahasamund,Diploma,Sales Executive,Part Time,Large,3 Months,7,33000
Dalli-Rajhara,B.Com,HR Executive,Full Time,Medium,Immediately,0,35000
Raipur,MBA,Digital Marketing Executive,Contract,Medium,45 Days,15,150000
Sakti,10th Pass,Customer Support,Full Time,Small,3 Months,1,12000
Dalli-Rajhara,M.Com,MIS Executive,Full Time,Medium,15 Days,2,103000
Bilaspur,BCA,Sales Executive,Full Time,Large,15 Days,14,138000
Raigarh,MA,Digital Marketing Executive,Contract,Small,3 Months,14,137000
Raipur,MA,MIS Executive,Full Time,Medium,2 Months,11,150000
Sakti,12th Pass,Sales Executive,Full Time,Medium,3 Months,11,44000
Jagdalpur,BBA,MIS Executive,Full Time,Small,45 Days,7,73000
Naila Janjgir,B.Com,HR Executive,Full Time,Large,15 Days,2,58000
Naila Janjgir,M.Com,MIS Executive,Full Time,Medium,3 Months,6,114000
Raipur,BBA,Customer Support,Full Time,Small,2 Months,2,37000
Jagdalpur,M.Com,MIS Executive,Full Time,Large,3 Months,14,150000
Raigarh,12th Pass,Content Writer,Full Time,Medium,45 Days,4,26000
Naila Janjgir,BCA,Sales Executive,Full Time,Large,2 Months,5,91000
Bhilai,10th Pass,Sales Executive,Contract,Small,Immediately,0,12000
Korba,12th Pass,Content Writer,Full Time,Medium,2 Months,5,25000
Mungeli,BBA,Business Analyst,Full Time,Large,30 Days,10,150000
Dalli-Rajhara,MA,Account Manager,Full Time,Large,2 Months,13,150000
Ambikapur,10th Pass,Sales Executive,Full Time,Medium,45 Days,3,17000
Raipur,12th Pass,Computer Operator,Full Time,Small,15 Days,6,20000
Sakti,BBA,HR Executive,Full Time,Small,15 Days,5,48000
Rajnandgaon,12th Pass,Sales Executive,Contract,Medium,30 Days,2,24000
Chirmiri,BCA,Sales Executive,Full Time,Large,30 Days,7,103000
Rajnandgaon,B.Com,MIS Executive,Part Time,Small,2 Months,5,35000
Ambikapur,B.Com,MIS Executive,Full Time,Large,30 Days,9,102000
Raipur,Diploma,Content Writer,Contract,Large,45 Days,0,29000
Tilda Newra,MA,Account Manager,Full Time,Medium,2 Months,6,133000
Tilda Newra,M.Com,Account Manager,Full Time,Medium,15 Days,5,129000
Raipur,BCA,HR Executive,Full Time,Medium,3 Months,5,73000
Bhatapara,BCA,Sales Executive,Full Time,Large,30 Days,3,86000
Jagdalpur,MA,MIS Executive,Full Time,Medium,2 Months,5,92000
Bhatapara,BA,MIS Executive,Full Time,Small,3 Months,5,46000
Tilda Newra,BCA,Sales Executive,Full Time,Large,30 Days,5,89000
Tilda Newra,MBA,MIS Executive,Full Time,Large,15 Days,3,150000
Jagdalpur,Diploma,Computer Operator,Part Time,Large,2 Months,9,26000
Bemetra,10th Pass,Sales Executive,Contract,Large,2 Months,8,29000
Naila Janjgir,M.Com,Digital Marketing Executive,Full Time,Small,Immediately,1,74000
Raigarh,Diploma,Accountant,Full Time,Medium,3 Months,7,43000
Bemetra,B.Com,MIS Executive,Contract,Large,45 Days,11,98000
Sakti,MBA,Account Manager,Full Time,Small,2 Months,10,150000
Manendragarh,M.Com,HR Executive,Contract,Small,Immediately,1,57000
Dalli-Rajhara,10th Pass,Computer Operator,Full Time,Small,Immediately,1,12000
Durg,BCA,HR Executive,Contract,Medium,15 Days,0,38000
Dalli-Rajhara,BCA,Content Writer,Full Time,Large,30 Days,2,55000
Bhilai,M.Com,Digital Marketing Executive,Contract,Large,2 Months,8,150000
Mungeli,M.Com,Digital Marketing Executive,Full Time,Medium,2 Months,10,150000
Bemetra,MBA,Business Analyst,Contract,Medium,3 Months,7,150000
Tilda Newra,BA,HR Executive,Full Time,Medium,2 Months,7,52000
Rajnandgaon,M.Com,MIS Executive,Full Time,Large,30 Days,8,150000
Durg,MA,Digital Marketing Executive,Full Time,Small,2 Months,2,71000
Bilaspur,BBA,Sales Executive,Part Time,Small,3 Months,10,52000
Durg,10th Pass,Computer Operator,Full Time,Large,Immediately,1,13000
Bhatapara,MBA,MIS Executive,Contract,Medium,30 Days,8,150000
Bilaspur,BA,MIS Executive,Full Time,Medium,15 Days,4,59000
Raipur,BCA,Sales Executive,Part Time,Small,30 Days,2,31000
Raigarh,12th Pass,Computer Operator,Part Time,Medium,45 Days,2,12000
Dalli-Rajhara,M.Com,Business Analyst,Full Time,Large,3 Months,12,150000
Mahasamund,M.Com,Account Manager,Part Time,Small,30 Days,15,101000
Naila Janjgir,10th Pass,Customer Support,Full Time,Small,3 Months,5,15000
Sakti,BBA,Business Analyst,Part Time,Small,Immediately,7,53000
Bemetra,Diploma,Accountant,Full Time,Medium,45 Days,7,53000
Bhilai,B.Com,Sales Executive,Full Time,Medium,3 Months,4,53000
Mahasamund,BBA,Account Manager,Full Time,Large,3 Months,10,148000
Jagdalpur,B.Com,Account Manager,Part Time,Medium,30 Days,6,44000
Jagdalpur,MA,Digital Marketing Executive,Full Time,Large,30 Days,11,150000
Bhilai,BCA,Digital Marketing Executive,Full Time,Small,30 Days,8,91000
Tilda Newra,MA,Digital Marketing Executive,Full Time,Small,Immediately,1,63000
Bhatapara,10th Pass,Computer Operator,Part Time,Small,2 Months,2,12000
Manendragarh,BCA,MIS Executive,Full Time,Small,30 Days,15,114000
Manendragarh,B.Com,Digital Marketing Executive,Full Time,Small,3 Months,7,57000
Sakti,BA,HR Executive,Full Time,Small,2 Months,3,37000
Bhilai,Diploma,Content Writer,Full Time,Medium,30 Days,3,29000
Bhatapara,Diploma,Content Writer,Contract,Large,15 Days,3,33000
Dhamtari,BBA,Digital Marketing Executive,Full Time,Large,45 Days,12,125000
Naila Janjgir,MA,HR Executive,Full Time,Medium,45 Days,11,130000
Durg,BA,Digital Marketing Executive,Full Time,Large,15 Days,3,59000
Jagdalpur,M.Com,HR Executive,Full Time,Large,30 Days,8,137000
Bilaspur,12th Pass,Sales Executive,Full Time,Small,45 Days,5,27000
Raipur,MBA,Sales Executive,Part Time,Small,30 Days,4,70000
Mungeli,BBA,Content Writer,Full Time,Small,30 Days,2,41000
Manendragarh,12th Pass,Customer Support,Full Time,Medium,30 Days,4,23000
Mungeli,M.Com,Account Manager,Part Time,Small,45 Days,8,89000
Korba,MBA,Business Analyst,Full Time,Medium,3 Months,15,150000
Bhatapara,10th Pass,Sales Executive,Full Time,Large,30 Days,4,24000
Bilaspur,BCA,Accountant,Contract,Small,Immediately,0,37000
Bilaspur,M.Com,Account Manager,Part Time,Medium,2 Months,15,146000
